STT,Nhóm,Tên tài liệu,Mục đích,Ghi chú (M/O)
1,Pháp lý,Giấy chứng nhận đăng ký doanh nghiệp (bản công chứng),Chứng minh (Yêu cầu nhà thầu cung cấp bản sao ĐKKD đ...),M
2,Năng lực,BBNT & Hợp đồng License,Chứng minh (Nhà thầu phải có BBNT và tài liệu hướng ...),M
3,Hợp đồng,Hợp đồng Khách hàng có quy mô tương tự,Chứng minh (có quy mô tương tự SeABank...),O^^
4,Cam kết,Cam kết đáp ứng yêu cầu (Triển khai/Bảo mật/...),Chứng minh (Bảo lãnh dự thầu...),O^^
5,Pháp lý,Giấy chứng nhận đăng ký doanh nghiệp,"Chứng minh (Trường hợp liên danh thầu, các thành viê...)",M
6,Giải pháp,Tài liệu thuyết minh giải pháp Marketing Automation,Chứng minh (Nhà thầu cần cung cấp thành phần và đội ...),M
7,Kỹ thuật,Tài liệu thuyết minh Kiến trúc giải pháp,Chứng minh (- Tài liệu thiết kế hệ thống bao gồm kiế...),O^^
8,Số liệu,Tài liệu chứng minh năng lực (Số lượng Profiles & Users),Chứng minh (Nhà thầu có năng lực tổ chức các buổi đà...),O^^
9,Nhân sự,"Danh sách nhân sự & CV, bằng cấp triển khai dự án",Chứng minh (Nhà thầu phải có chứng chỉ quốc tế hợp l...),M
10,Kinh nghiệm,Danh sách khách hàng sử dụng giải pháp CRM,Chứng minh (Hệ thống cung cấp công cụ quản lý tập tr...),O^^
11,Vận hành,Tài liệu về Kinh doanh liên tục & Phục hồi thảm họa,Chứng minh (Hệ thống cho phép thiết lập thời gian ca...),O^^
12,Giải pháp,Tài liệu thuyết minh giải pháp Mobile App,"Chứng minh (Hỗ trợ thông báo đa kênh (Mobile App, Em...)",O^^
13,Vận hành,Tài liệu về Kinh doanh liên tục & Phục hồi thảm họa (bản công chứng),Chứng minh (Nhà thầu cung cấp giải pháp có khả năng ...),O^^
14,Giải pháp,Tài liệu Thuyết minh Giải pháp CRM,Chứng minh (Đối tác đảm bảo không để lộ thông tin nh...),O^^
15,Pháp lý,Giấy chứng nhận quyền sở hữu trí tuệ,Chứng minh (Bản quyền/Phần mềm...),O^^
